Host Name,FOG,rsync,P2P
C6,00:10:20,00:08:08,00:45:30
C6,00:10:24,00:08:10,00:48:01
C6,00:11:20,00:08:18,00:39:44
C6,00:10:23,00:08:10,00:41:15
C6,00:10:29,00:08:10,00:42:26
C6,00:10:37,00:08:08,00:46:01
C6,00:13:56,00:08:08,00:39:42
C6,00:11:40,00:08:08,00:39:31
C6,00:11:19,00:08:10,00:45:39
C6,00:11:28,00:08:09,00:39:39
C6,00:11:33,00:08:10,00:46:03
C6,00:11:34,00:08:09,00:40:26
C6,00:11:22,00:08:09,00:44:10
C6,00:11:38,00:08:09,00:41:59
C6,00:11:57,00:08:09,00:43:17
C6,00:11:33,00:08:09,00:38:52
C6,00:11:32,00:08:08,00:39:29
C6,00:11:30,00:08:11,00:45:16
C6,00:10:10,00:08:09,00:45:37
C6,00:11:25,00:08:09,00:46:22
C6,00:10:11,00:08:09,00:40:42
C6,00:10:54,00:08:09,00:41:15
C6,00:10:36,00:08:08,00:41:59
C6,00:10:29,00:08:09,00:39:45
C6,00:11:51,00:08:09,00:46:03
C6,00:10:16,00:08:09,00:44:53
C6,00:10:36,00:08:09,00:42:43
C6,00:10:51,00:08:09,00:40:02
C6,00:10:58,00:08:10,00:46:34
C7,00:10:32,00:08:12,00:44:42
C7,00:10:40,00:08:10,00:50:56
C7,00:11:05,00:08:12,00:44:57
C7,00:11:20,00:08:20,00:45:41
C7,00:10:16,00:08:12,00:44:36
C7,00:10:27,00:08:12,00:41:58
C7,00:10:57,00:08:10,00:40:14
C7,00:14:06,00:08:10,00:44:34
C7,00:11:37,00:08:10,00:49:59
C7,00:11:18,00:08:12,00:39:09
C7,00:11:28,00:08:11,00:40:47
C7,00:11:35,00:08:12,00:45:03
C7,00:11:35,00:08:11,00:45:26
C7,00:12:01,00:08:11,00:44:19
C7,00:11:43,00:08:11,00:40:28
C7,00:11:59,00:08:11,00:40:44
C7,00:11:32,00:08:11,00:43:46
C7,00:11:34,00:08:10,00:46:36
C7,00:11:36,00:08:11,00:47:22
C7,00:11:48,00:08:11,00:43:56
C7,00:11:38,00:08:06,00:39:45
C7,00:10:09,00:08:11,00:45:55
C7,00:10:42,00:08:11,00:48:28
C7,00:10:45,00:08:10,00:43:30
C7,00:11:14,00:08:11,00:44:34
C7,00:11:17,00:08:11,00:47:40
C7,00:10:15,00:08:11,00:42:46
C7,00:10:42,00:08:11,00:42:05
C7,00:10:26,00:08:11,00:40:39
C7,00:10:56,00:08:12,00:40:33
C8,00:10:49,00:08:08,00:41:03
C8,00:10:29,00:08:06,00:38:34
C8,00:11:07,00:08:07,00:37:00
C8,00:11:25,00:08:16,00:38:19
C8,00:10:15,00:08:08,00:44:03
C8,00:09:04,00:08:08,00:43:12
C8,00:10:44,00:08:06,00:36:43
C8,00:13:31,00:08:06,00:39:34
C8,00:11:16,00:08:06,00:40:07
C8,00:11:21,00:08:08,00:44:43
C8,00:11:29,00:08:07,00:40:05
C8,00:11:35,00:08:08,00:40:58
C8,00:11:34,00:08:06,00:42:14
C8,00:09:42,00:08:07,00:42:53
C8,00:11:03,00:08:07,00:35:38
C8,00:11:55,00:08:07,00:39:52
C8,00:11:29,00:08:11,00:44:13
C8,00:11:19,00:08:06,00:43:29
C8,00:11:33,00:08:07,00:39:36
C8,00:11:44,00:08:07,00:42:47
C8,00:11:39,00:08:07,00:39:45
C8,00:10:17,00:08:07,00:37:03
C8,00:10:50,00:08:07,00:36:57
