Cliente,fog,rsync,p2p
C5,00:06:26,00:08:08,00:45:30
C5,00:06:27,00:08:10,00:48:01
C5,00:06:27,00:08:18,00:39:44
C5,00:06:24,00:08:10,00:41:15
C5,00:06:26,00:08:10,00:42:26
C5,00:06:22,00:08:08,00:46:01
C5,00:06:25,00:08:08,00:39:42
C5,00:06:21,00:08:08,00:39:31
C5,00:06:22,00:08:10,00:45:39
C5,00:06:26,00:08:09,00:39:39
C5,00:06:26,00:08:10,00:46:03
C5,00:06:27,00:08:09,00:40:26
C5,00:06:27,00:08:09,00:44:10
C5,00:06:24,00:08:09,00:41:59
C5,00:06:26,00:08:09,00:43:17
C5,00:06:26,00:08:09,00:38:52
C5,00:06:25,00:08:08,00:39:29
C5,00:06:21,00:08:11,00:45:16
C5,00:06:22,00:08:09,00:45:37
C5,00:06:26,00:08:09,00:46:22
C5,00:06:26,00:08:09,00:40:42
C5,00:06:27,00:08:09,00:41:15
C5,00:06:27,00:08:08,00:41:59
C5,00:06:24,00:08:09,00:39:45
C5,00:06:26,00:08:09,00:46:03
C5,00:06:22,00:08:09,00:44:53
C5,00:06:25,00:08:09,00:42:43
C5,00:06:21,00:08:09,00:40:02
C5,00:06:22,00:08:10,00:46:34
C6,00:06:26,00:08:12,00:44:42
C6,00:06:26,00:08:10,00:50:56
C6,00:06:27,00:08:12,00:44:57
C6,00:06:26,00:08:20,00:45:41
C6,00:06:26,00:08:12,00:44:36
C6,00:06:26,00:08:12,00:41:58
C6,00:06:22,00:08:10,00:40:14
C6,00:06:25,00:08:10,00:44:34
C6,00:06:21,00:08:10,00:49:59
C6,00:06:22,00:08:12,00:39:09
C6,00:06:21,00:08:11,00:40:47
C6,00:06:26,00:08:12,00:45:03
C6,00:06:27,00:08:11,00:45:26
C6,00:06:27,00:08:11,00:44:19
C6,00:06:24,00:08:11,00:40:28
C6,00:06:26,00:08:11,00:40:44
C6,00:06:22,00:08:11,00:43:46
C6,00:06:26,00:08:10,00:46:36
C6,00:06:21,00:08:11,00:47:22
C6,00:06:22,00:08:11,00:43:56
C6,00:06:26,00:08:06,00:39:45
C6,00:06:26,00:08:11,00:45:55
C6,00:06:27,00:08:11,00:48:28
C6,00:06:27,00:08:10,00:43:30
C6,00:06:24,00:08:11,00:44:34
C6,00:06:21,00:08:11,00:47:40
C6,00:06:22,00:08:11,00:42:46
C6,00:06:25,00:08:11,00:42:05
C6,00:06:21,00:08:11,00:40:39
C6,00:06:22,00:08:12,00:40:33
C7,00:06:26,00:08:08,00:41:03
C7,00:06:26,00:08:06,00:38:34
C7,00:06:27,00:08:07,00:37:00
C7,00:06:26,00:08:16,00:38:19
C7,00:06:24,00:08:08,00:44:03
C7,00:06:26,00:08:08,00:43:12
C7,00:06:22,00:08:06,00:36:43
C7,00:06:25,00:08:06,00:39:34
C7,00:06:21,00:08:06,00:40:07
C7,00:06:22,00:08:08,00:44:43
C7,00:06:26,00:08:07,00:40:05
C7,00:06:26,00:08:08,00:40:58
C7,00:06:27,00:08:06,00:42:14
C7,00:06:27,00:08:07,00:42:53
C7,00:06:24,00:08:07,00:35:38
C7,00:06:26,00:08:07,00:39:52
C7,00:06:22,00:08:11,00:44:13
C7,00:06:21,00:08:06,00:43:29
C7,00:06:21,00:08:07,00:39:36
C7,00:06:26,00:08:07,00:42:47
C7,00:06:26,00:08:07,00:39:45
C7,00:06:26,00:08:07,00:37:03
C7,00:06:27,00:08:07,00:36:57
C7,00:06:27,00:08:06,00:42:44
C7,00:06:24,00:08:07,00:40:54
C7,00:06:26,00:08:07,00:36:36
C7,00:06:22,00:08:11,00:36:33
C7,00:06:25,00:08:06,00:40:31
C7,00:06:21,00:08:07,00:40:40
C7,00:06:22,00:08:08,00:37:34
C8,00:06:26,00:08:11,00:47:39
C8,00:06:26,00:08:09,00:43:49
C8,00:06:27,00:08:11,00:43:17
C8,00:06:26,00:08:19,00:45:50
C8,00:06:24,00:08:07,00:43:46
C8,00:06:26,00:08:11,00:45:48
C8,00:06:22,00:08:09,00:47:09
C8,00:06:25,00:08:09,00:48:14
C8,00:06:26,00:08:09,00:47:36
C8,00:06:22,00:08:11,00:43:14
C8,00:06:26,00:08:10,00:46:18
C8,00:06:26,00:08:11,00:45:48
C8,00:06:27,00:08:10,00:37:35
C8,00:06:27,00:08:10,00:45:05
C8,00:06:24,00:08:11,00:47:26
C8,00:06:26,00:08:10,00:48:32
C8,00:06:22,00:08:10,00:48:06
C8,00:06:21,00:08:09,00:47:11
C8,00:06:21,00:08:10,00:44:07
C8,00:06:22,00:08:11,00:42:49
C8,00:06:26,00:08:10,00:38:50
C8,00:06:26,00:08:10,00:49:54
C8,00:06:26,00:08:06,00:42:43
C8,00:06:27,00:08:09,00:41:09
C8,00:06:24,00:08:10,00:45:11
C8,00:06:26,00:08:06,00:46:24
C8,00:06:26,00:08:10,00:39:53
C8,00:06:25,00:08:10,00:42:43
C8,00:06:21,00:08:10,00:45:09
C8,00:06:22,00:08:11,00:40:40
C9,00:06:26,00:08:07,00:39:22
C9,00:06:26,00:08:05,00:36:12
C9,00:06:27,00:08:07,00:39:26
C9,00:06:26,00:08:15,00:37:06
C9,00:06:24,00:08:07,00:38:58
C9,00:06:26,00:08:07,00:40:30
C9,00:06:21,00:08:05,00:37:29
C9,00:06:25,00:08:05,00:39:20
C9,00:06:21,00:08:05,00:35:00
C9,00:06:22,00:08:07,00:38:36
C9,00:06:26,00:08:06,00:36:42
C9,00:06:26,00:08:07,00:35:35
C9,00:06:27,00:08:06,00:38:03
C9,00:06:27,00:08:06,00:40:29
C9,00:06:24,00:08:06,00:40:00
C9,00:06:26,00:08:06,00:36:13
C9,00:06:22,00:08:06,00:40:55
C9,00:06:25,00:08:05,00:35:59
C9,00:06:21,00:08:06,00:39:41
C9,00:06:22,00:08:06,00:38:19
C9,00:06:26,00:08:06,00:33:57
C9,00:06:21,00:08:06,00:37:01
C9,00:06:27,00:08:06,00:33:46
C9,00:06:27,00:08:05,00:33:55
C9,00:06:24,00:08:11,00:36:56
C9,00:06:26,00:08:06,00:35:02
C9,00:06:22,00:08:06,00:35:38
C9,00:06:25,00:08:06,00:36:28
C9,00:06:21,00:08:06,00:34:38
C9,00:06:22,00:08:07,00:35:14
