Cliente,Tempo FOG,Tempo RSync,Tempo
C2,00:06:51,00:01:46,00:08:37
C3,00:06:51,00:01:46,00:08:37
C4,00:06:51,00:01:46,00:08:37
C5,00:06:58,00:01:46,00:08:44
C6,00:07:02,00:01:46,00:08:48
C7,00:07:04,00:01:46,00:08:50
C8,00:07:02,00:01:46,00:08:48
C9,00:06:55,00:01:46,00:08:41
C10,00:07:04,00:01:46,00:08:50
C1,00:07:03,00:01:44,00:08:47
C2,00:06:21,00:01:44,00:08:05
C3,00:07:01,00:01:44,00:08:45
C4,00:07:03,00:01:44,00:08:47
C5,00:07:00,00:01:44,00:08:44
C6,00:06:53,00:01:44,00:08:37
C7,00:07:01,00:01:44,00:08:45
C8,00:06:19,00:01:44,00:08:03
C9,00:06:38,00:01:44,00:08:22
C10,00:06:39,00:01:44,00:08:23
C1,00:06:38,00:01:46,00:08:24
C2,00:06:50,00:01:46,00:08:36
C3,00:06:45,00:01:46,00:08:31
C4,00:06:55,00:01:46,00:08:41
C5,00:06:54,00:01:46,00:08:40
C6,00:07:03,00:01:46,00:08:49
C7,00:07:01,00:01:46,00:08:47
C8,00:06:55,00:01:46,00:08:41
C9,00:06:49,00:01:46,00:08:35
C10,00:06:53,00:01:46,00:08:39
C1,00:06:33,00:01:46,00:08:19
C2,00:06:49,00:01:46,00:08:35
C3,00:06:46,00:01:46,00:08:32
C4,00:06:50,00:01:46,00:08:36
C5,00:06:58,00:01:46,00:08:44
C6,00:06:59,00:01:46,00:08:45
C7,00:07:01,00:01:46,00:08:47
C8,00:07:03,00:01:46,00:08:49
C9,00:07:01,00:01:46,00:08:47
C10,00:07:03,00:01:46,00:08:49
C1,00:07:00,00:01:45,00:08:45
C2,00:07:04,00:01:45,00:08:49
C3,00:06:59,00:01:45,00:08:44
C4,00:07:00,00:01:45,00:08:45
C5,00:06:57,00:01:45,00:08:42
C6,00:06:53,00:01:45,00:08:38
C7,00:06:59,00:01:45,00:08:44
C8,00:06:20,00:01:45,00:08:05
C9,00:06:33,00:01:45,00:08:18
C10,00:06:41,00:01:45,00:08:26
C1,00:06:39,00:01:44,00:08:23
C2,00:06:48,00:01:44,00:08:32
C3,00:06:47,00:01:44,00:08:31
C4,00:06:42,00:01:44,00:08:26
C5,00:06:52,00:01:44,00:08:36
C6,00:06:50,00:01:44,00:08:34
C7,00:07:02,00:01:44,00:08:46
C8,00:06:53,00:01:44,00:08:37
C9,00:06:51,00:01:44,00:08:35
C10,00:07:02,00:01:44,00:08:46
C1,00:06:37,00:01:45,00:08:22
C2,00:06:52,00:01:45,00:08:37
C3,00:06:50,00:01:45,00:08:35
C4,00:06:54,00:01:45,00:08:39
C5,00:06:54,00:01:45,00:08:39
C6,00:06:58,00:01:45,00:08:43
C7,00:07:01,00:01:45,00:08:46
C8,00:06:59,00:01:45,00:08:44
C9,00:07:01,00:01:45,00:08:46
C10,00:06:58,00:01:45,00:08:43
C1,00:06:54,00:01:45,00:08:39
C2,00:07:00,00:01:45,00:08:45
C3,00:07:02,00:01:45,00:08:47
C4,00:07:05,00:01:45,00:08:50
C5,00:06:56,00:01:45,00:08:41
C6,00:06:54,00:01:45,00:08:39
C7,00:07:00,00:01:45,00:08:45
C8,00:06:16,00:01:45,00:08:01
C9,00:06:33,00:01:45,00:08:18
C10,00:06:40,00:01:45,00:08:25
C1,00:06:38,00:01:45,00:08:23
C2,00:06:51,00:01:45,00:08:36
C3,00:06:47,00:01:45,00:08:32
C4,00:06:49,00:01:45,00:08:34
C5,00:06:48,00:01:45,00:08:33
C6,00:06:58,00:01:45,00:08:43
C7,00:06:58,00:01:45,00:08:43
C8,00:06:57,00:01:45,00:08:42
C9,00:06:52,00:01:45,00:08:37
C10,00:07:04,00:01:45,00:08:49
C1,00:06:31,00:01:46,00:08:17
C2,00:06:49,00:01:46,00:08:35
C3,00:06:35,00:01:46,00:08:21
C4,00:06:53,00:01:46,00:08:39
C5,00:06:57,00:01:46,00:08:43
C6,00:06:59,00:01:46,00:08:45
C7,00:07:01,00:01:46,00:08:47
C8,00:06:57,00:01:46,00:08:43
C9,00:06:59,00:01:46,00:08:45
C10,00:06:59,00:01:46,00:08:45
C1,00:06:49,00:01:46,00:08:35
C2,00:07:04,00:01:46,00:08:50
C3,00:07:00,00:01:46,00:08:46
C4,00:06:57,00:01:46,00:08:43
C5,00:06:55,00:01:46,00:08:41
C6,00:07:00,00:01:46,00:08:46
C7,00:06:57,00:01:46,00:08:43
C8,00:06:19,00:01:46,00:08:05
C9,00:06:27,00:01:46,00:08:13
C10,00:06:40,00:01:46,00:08:26
C1,00:06:30,00:01:45,00:08:15
C2,00:06:43,00:01:45,00:08:28
C3,00:06:50,00:01:45,00:08:35
C4,00:06:49,00:01:45,00:08:34
C5,00:06:41,00:01:45,00:08:26
C6,00:06:59,00:01:45,00:08:44
C7,00:06:50,00:01:45,00:08:35
C8,00:06:55,00:01:45,00:08:40
C9,00:06:48,00:01:45,00:08:33
C10,00:06:57,00:01:45,00:08:42
C1,00:06:35,00:01:45,00:08:20
C2,00:06:38,00:01:45,00:08:23
C3,00:06:50,00:01:45,00:08:35
C4,00:06:52,00:01:45,00:08:37
C5,00:06:53,00:01:45,00:08:38
C6,00:06:54,00:01:45,00:08:39
C7,00:07:01,00:01:45,00:08:46
C8,00:06:51,00:01:45,00:08:36
C9,00:07:01,00:01:45,00:08:46
C10,00:07:03,00:01:45,00:08:48
C1,00:06:54,00:01:46,00:08:40
C2,00:06:59,00:01:46,00:08:45
C3,00:06:44,00:01:46,00:08:30
C4,00:07:04,00:01:46,00:08:50
C5,00:07:00,00:01:46,00:08:46
C6,00:07:01,00:01:46,00:08:47
C7,00:06:54,00:01:46,00:08:40
C8,00:06:23,00:01:46,00:08:09
C9,00:06:28,00:01:46,00:08:14
C10,00:06:41,00:01:46,00:08:27
C1,00:06:31,00:01:46,00:08:17
C2,00:06:44,00:01:46,00:08:30
C3,00:06:50,00:01:46,00:08:36
C4,00:06:48,00:01:46,00:08:34
C5,00:06:52,00:01:46,00:08:38
C6,00:07:03,00:01:46,00:08:49
C7,00:06:57,00:01:46,00:08:43
C8,00:06:48,00:01:46,00:08:34
C9,00:06:47,00:01:46,00:08:33
C10,00:07:02,00:01:46,00:08:48
